transaction_id,merchant,memo,category_true,category_pred_baseline,category_pred_logreg,category_pred_lgbm,best_ml_pred,top1_prob,top2_prob,confidence_margin,is_unseen_merchant,sub_type,is_ml_misclassified,error_attribution
93b2047b-76f2-4783-8272-74f93fe5ba79,Starbucks Reserve,Shibuya Honey Toast และชาร้อน,food,food,food,food,food,0.6549,0.1026,0.5523,False,wants,False,both_correct
55b7f736-8bd3-470e-8972-d1f4e6344406,GrabCar Premium Bangkok,เช่ารถขับเที่ยวกับเพื่อน,transport,transport,transport,transport,transport,0.7554,0.074,0.6814,False,wants,False,both_correct
9f8910a4-ba35-4ced-accf-3e64f29d4a7b,Major Cineplex รัชโยธิน,ตั๋วชมภาพยนตร์รอบค่ำ,entertainment,entertainment,entertainment,entertainment,entertainment,0.86,0.0376,0.8224,False,wants,False,both_correct
4c66ee52-ed7d-4cae-9b68-959751438109,Lotus's สุขุมวิท 50,ของสดวัตถุดิบทำกับข้าว,shopping,food,shopping,shopping,shopping,0.8142,0.0572,0.757,False,routine,False,ml_wins_baseline_wrong
376515b8-d050-4571-8706-a6122ceb8e7c,Caltex เอกมัย,เติมเงินบัตร BTS รายเดือน,transport,transport,transport,transport,transport,0.707,0.0785,0.6285,False,routine,False,both_correct
e98b0b22-b218-45a3-b110-985bfe0a7ec7,H&M EmQuartier,กระเป๋าผ้าแบรนด์ยอดฮิต,shopping,shopping,shopping,shopping,shopping,0.7141,0.0715,0.6426,False,wants,False,both_correct
e182bba9-7d09-454b-82c2-6ffd38cb95cc,Bar B Q Plaza,xxx,food,other,food,food,food,0.5377,0.1404,0.3973,False,wants,False,ml_wins_baseline_wrong
ef673d83-52d1-4487-b8ab-6030bafd5478,Foodpanda - Pizza Hut Delivery,ยำแซลมอนกุ้งสด สั่งตอนหิวรอบดึก,food,food,food,food,food,0.64,0.1152,0.5248,False,impulse_delivery,False,both_correct
8be46395-d2c8-41fa-ba02-f33afca26fad,Amazon Cafe PTT,โจ๊กหมูใส่ไข่เยี่ยวม้า,food,food,food,food,food,0.8014,0.0524,0.749,False,routine,False,both_correct
e3275231-cca9-4d28-9cdd-abd9f1bcffce,Sephora Thailand,เสื้อผ้าแฟชั่นเกาหลีแมตช์ชุด,shopping,shopping,shopping,shopping,shopping,0.7424,0.0761,0.6663,False,wants,False,both_correct
123f6389-192c-4dca-93f4-cb5773704ce2,KFC Drive Thru,Iced Caramel Macchiato Venti,food,food,food,food,food,0.7592,0.0647,0.6945,False,wants,False,both_correct
fbb6035c-48ae-4fd8-9176-77f2024e6d9c,Spotify Premium TH,ตั๋วชมภาพยนตร์รอบค่ำ,entertainment,entertainment,entertainment,entertainment,entertainment,0.8453,0.04,0.8053,False,wants,False,both_correct
7200cce4-cacb-4198-aae0-d683260a3f11,ข้าวมันไก่ตอนประตูน้ำ,ข้าวมันไก่เนื้อน่องไม่หนัง,food,food,food,food,food,0.7648,0.0756,0.6892,False,routine,False,both_correct
